School	Enrollment	Tier	Retention	Grad.rate	Pct.20	Pct.50	Full.time	Top.10	Accept.rate	Alumni.giving
Harvard	19230	1	97	98	77	8	93	95	8	40
Princeton	7497	1	98	96	75	9	92	97	10	61
Yale	11446	1	99	97	79	7	88	97	9	41
Cal Tech	2126	1	98	88	71	6	97	97	17	31
MIT	10299	1	98	94	65	13	90	97	12	37
Stanford	17833	1	98	94	72	12	99	92	9	35
Penn	8855	1	98	95	73	7	86	99	17	39
Columbia	23196	1	99	95	77	8	92	94	10	36
Chicago	12386	1	98	92	73	5	86	86	28	33
Duke	14060	1	96	95	71	5	97	90	22	39
Dartmouth	5848	1	98	95	63	9	93	90	13	51
Northwestern	18431	1	97	93	75	7	96	85	26	31
Washington Univ	13338	1	97	94	74	9	94	96	22	35
John Hopkins	19858	1	97	91	65	11	98	84	25	35
Cornell	20273	1	96	93	58	17	98	88	21	32
Brown	8318	1	98	94	71	9	93	93	14	39
Emory	12755	1	94	88	68	7	95	88	27	37
Rice	5456	1	97	93	65	8	93	85	23	34
Vanderbilt	12093	1	96	89	68	7	93	84	25	24
Notre Dame	11731	1	98	96	55	9	96	87	27	50
Berkeley	35409	1	97	90	60	15	90	98	22	13
Carnegie Mellon	11064	1	95	87	64	11	94	73	38	20
Georgetown	15318	1	97	93	56	6	77	93	19	28
UCLA	20743	1	97	89	54	20	90	97	23	14
Virginia	24541	1	97	93	50	14	98	88	37	23
USC	33747	1	96	88	64	11	82	87	22	39
Michigan	41028	1	96	88	46	18	93	92	42	17
Tufts	10030	1	96	92	73	5	86	85	26	24
North Carolina	28567	1	97	88	44	11	97	79	34	22
Wake Forest	6862	1	93	88	56	2	92	64	38	32
Brandeis	5327	1	94	90	69	7	88	82	32	32
NYU	42189	1	93	84	60	11	73	68	32	11
William and Mary	7892	1	95	91	45	7	92	79	34	22
Boston College	13903	1	96	91	47	8	78	80	26	23
Georgia Tech	19413	1	92	77	40	22	100	64	61	29
Lehigh	6994	1	94	85	48	10	87	93	28	32
Univ Calif San Diego	27520	1	94	85	42	30	93	100	42	7
Rochester	9712	1	95	84	61	13	85	75	43	18
Illinois	43246	1	93	82	39	18	99	55	69	14
Wisconsin	42030	1	94	82	44	19	94	58	53	13
Case Western	9814	1	92	81	59	11	93	63	73	19
RPI	7521	1	93	82	53	10	93	64	44	16
Univ Calif Davis	30568	1	90	81	34	28	94	98	53	11
Univ Calif Santa Barbara	21868	1	91	87	49	17	94	96	49	18
Washington	41517	1	93	77	35	17	93	87	61	18
Univ Calif Irvine	26984	1	94	81	44	19	91	96	49	12
Penn State	44406	1	93	85	32	18	95	43	51	20
Florida	51474	1	95	82	40	22	99	75	39	17
Texas	49984	1	92	78	36	23	97	75	44	16
Tulane	11157	1	88	74	65	5	73	59	27	19
Miami	15323	1	90	77	52	5	87	66	39	19
Yeshiva	6322	2	88	84	65	0.4	89	51	67	22
George Washington	25116	2	91	81	56	10	68	67	37	10
Ohio State	53715	2	92	73	35	19	89	53	62	16
Maryland	36956	2	93	82	35	14	89	73	39	12
Boston Univ	31766	2	91	80	56	10	81	55	54	9
Pittsburgh	27562	2	90	76	45	16	90	48	55	15
Pepperdine	7614	2	89	81	68	3	78	40	34	12
Syracuse	19366	2	91	80	63	8	84	39	53	18
Georgia	34180	2	93	80	37	12	93	52	56	14
Clemson	18317	2	90	79	49	12	95	50	54	28
Fordham	14666	2	90	78	50		77	42	47	22
Purdue	40090	2	85	72	37	15	95	30	72	16
Texas AandM	48039	2	92	78	22	22	92	54	70	16
Minnesota	51140	2	87	66	43	16	86	45	53	15
Rutgers	36041	2	90	75	42	21	85	38	56	15
Univ Connecticut	24273	2	93	76	45	15	90	39	54	19
SMU	10965	2	88	74	58	7	84	42	50	17
Delaware	19832	2	90	80	40	12	93	42	56	10
Worcester Poly	4561	2	92	80	69	9	92	53	67	17
Brigham Young	34244	2	87	79	47	10	90	51	69	20
Indiana 	40354	2	88	73	34	19	95	31	71	15
Michigan State	46648	2	91	75	24	21	95	31	70	15
Univ Calif Santa Cruz	16625	2	89	76	45	21	88	96	72	10
Iowa	29152	2	84	66	50	10	98	22	82	13
Virginia Tech	30739	2	90	78	24	21	95	42	65	18
Colorado School Mines	4488	2	84	68	43	13	89	52	62	25
Miami Univ	17191	2	90	81	34	10	87	37	80	18
Colorado - Bolder	32191	2	84	67	50	14	85	27	78	9
Baylor	14541	2	85	73	45	9	90	41	51	18
Northeastern	18363	2	91	70	56	8	88	49	35	10
SUNY - Binghamton	14898	2	90	80	46	13	86	48	40	10
SUNY - Col of Envir	2201	2	85	72	77	7	94	25	48	28
American	11684	2	88	76	49	2	78	46	53	13
Marquette	11633	2	90	76	39	12	80	36	65	18
Stevens Institute of Tech	5563	2	89	75	43	6	80	53	52	22
Univ Denver	21903	2	88	74	65	4	74	43	64	10
Auburn	24530	2	86	64	28	15	96	39	71	33
Clark	3330	2	88	73	59	5	83	39	56	22
Drexel	16478	2	83	62	64	4	83	32	68	18
Iowa State	26856	2	85	67	34	18	95	27	87	17
N.C. State	32872	2	89	70	31	16	96	40	59	16
St. Louis	12733	2	84	74	54	6	81	36	72	16
Tulsa	4192	2	86	63	58	2	92	64	46	24
Vermont	12800	2	86	71	48	11	92	29	65	18
Howard	10288	2	87	65	63	4	88	26	49	13
SUNY - Stony Brook	23994	2	88	61	37	20	84	38	43	13
Alabama	27014	2	86	64	43	15	90	42	60	30
Univ Calif Riverside	18079	2	85	68	39	19	94	94	78	7
