"COUNTY","NBR","DIST","POP","PDEN","PHOME","RDIST"
"BERKSHIRE",119,97,26.656,56,77,0.0103092783505155
"FRANKLIN",84,62,22.26,45,81,0.0161290322580645
"HAMPSHIRE",94,54,23.312,72,75,0.0185185185185185
"HAMPDEN",105,52,18.9,94,69,0.0192307692307692
"WORCESTER",351,20,82.836,98,64,0.05
"MIDDLESEX",357,14,66.759,231,47,0.0714285714285714
"ESSEX",377,10,95.004,3252,47,0.1
"SUFFOLK",458,4,123.202,3042,6,0.25
"NORFOLK",241,14,62.901,235,49,0.0714285714285714
"BRISTOL",158,14,29.704,151,60,0.0714285714285714
"PLYMOUTH",139,16,32.526,91,68,0.0625
"BARNSTABLE",78,44,16.692,93,76,0.0227272727272727
"NANTUCKET",12,77,1.74,179,25,0.0129870129870130
"DUKES",19,52,7.524,46,79,0.0192307692307692
