DLHRWAGE,DEDUC1,AGE,AGESQ,HRWAGEH,WHITEH,MALEH,EDUCH,HRWAGEL,WHITEL,MALEL,EDUCL,DEDUC2,DTEN,DMARRIED,DUNCOV
0.2593466,0,33.25119781,1105.642156,11.25,1,0,16,8.68,1,0,16,0,1.333,0,0
.,-1,54.05338809,2921.768764,.,1,0,9,7.85,1,0,10,1,8,1,0
0.721318058,7,43.57015743,1898.358618,18,1,0,19,8.75,1,0,12,4,3,-1,0
0.011581964,0,30.96783025,959.0065106,16.5,1,1,12,16.31,1,1,12,0,-2,0,1
-0.560984677,0,34.63381246,1199.500965,9.6154,1,1,14,16.85,1,1,14,1,2.917,0,-1
.,2,71.60301164,5126.991275,.,1,0,16,.,1,0,14,-2,24,1,0
1.523260216,-2,34.97878166,1223.515166,35,1,0,13,7.63,1,0,15,-2,3,1,0
.,-1,61.45106092,3776.232888,35,1,0,13,.,1,0,14,-2,25.5,0,0
-0.223143551,-2,29.33880904,860.7657156,12,1,1,12,15,1,1,14,1,1,-1,0
-0.470003629,0,47.60574949,2266.307384,6.25,1,0,12,10,1,0,12,0,-5,0,0
0.051751065,-1,51.90143737,2693.759201,17.25,1,1,12,16.38,1,1,13,-2,9,0,0
0.287682073,0,36.07665982,1301.525384,16,1,1,12,12,1,1,12,0,5,0,0
.,4,32.08213552,1029.26342,.,1,0,16,31.25,1,0,12,4,-9.5,0,0
-0.470003629,-2,48.12046544,2315.579194,15.625,1,0,17,25,1,0,19,-3,-7,0,0
0.305601229,2,33.95482546,1152.930172,9.76,1,0,14,7.19,1,0,12,2,.,0,-1
.,4,36.04106776,1298.958565,.,1,0,18,.,1,0,14,4,.,-1,0
-0.336472237,0,27.17590691,738.5299166,1.785714286,1,0,16,2.5,1,0,16,0,0.417,0,0
.,1,24.54483231,602.448793,5.25,1,1,13,.,1,1,12,0,.,1,0
0.628608659,2,39.34017796,1547.649602,15,1,1,14,8,1,1,12,-2,15,1,1
0.321583624,1,38.53251198,1484.754479,15,1,1,13,10.875,1,1,12,-1,0,0,0
.,0,24.65708419,607.9718007,8.7,1,0,12,.,1,0,12,0,-2,0,1
-0.378653851,1,23.68240931,560.8565107,11.41304348,1,0,17,16.66666667,1,0,16,1,-0.5,0,1
-0.078555719,3,35.66324435,1271.866998,13.46,1,0,15,14.56,1,0,12,2,4,0,-1
-0.3254224,0,21.34976044,455.8122708,6.5,0,1,14,9,0,1,14,0,-0.083,0,0
.,1,28.90075291,835.2535187,8.583333333,1,1,15,.,1,1,14,-1,0,0,0
.,0,30.00684463,900.4107245,13,1,1,12,.,1,1,12,0,0,0,0
-0.494696242,0,33.63997262,1131.647758,10,1,0,12,16.4,1,0,12,0,-6.5,-1,-1
0.497032302,2,24.64065708,607.1619815,12,1,0,16,7.3,1,0,14,-2,-1,0,-1
0.167054085,0,46.36550308,2149.759876,7.15,1,0,12,6.05,1,0,12,0,1,0,0
-1.446918983,-5,43.85489391,1923.25172,8,1,1,15,34,1,1,20,-6,-2,0,0
2.014903021,0,61.87268994,3828.22976,37.5,0,1,12,5,0,1,12,0,25,0,1
1.504077397,0,24.11772758,581.6647838,22.5,1,1,16,5,1,1,16,0,1.5,0,1
.,0,61.51676934,3784.31291,25,1,1,12,.,1,1,12,0,30,0,1
0.087011377,3,32.59411362,1062.376243,12,1,1,14,11,1,1,11,1,-1.5,1,-1
0.287682073,0,53.85352498,2900.202153,16,1,1,12,12,1,1,12,0,24,0,0
-0.382992252,-2,44.01916496,1937.686883,15,1,1,16,22,1,1,18,2,14.75,-1,1
-0.478035801,-6,39.61943874,1569.699926,15.5,0,1,12,25,0,1,18,-4,-1,0,0
1.034073768,0,22.07255305,487.197598,18.75,0,1,16,6.666666667,0,1,16,0,0.083,0,0
0.271933716,0,38.02600958,1445.977405,15,1,0,12,11.42857143,1,0,12,0,0.5,0,0
-1.071583616,-2,53.63723477,2876.952954,6.849315069,1,1,12,20,1,1,14,-2,-19,0,0
0.108216442,0,28.32306639,802.1960899,15,1,0,16,13.4615,1,0,16,0,2,0,-1
0.145851877,0,29.86173854,891.7234284,7,1,0,12,6.05,1,0,12,-1,-7,0,0
-0.348306694,-2,36.98562628,1367.936552,10,1,1,14,14.16666667,1,1,16,-2,-2,0,0
0.600437783,0,44.23271732,1956.533281,41.66666667,0,0,18,22.85714286,0,0,18,-2,-4,0,0
-0.133912418,0,22.15468857,490.8302256,4.1,1,0,16,4.6875,1,0,16,0,-1.875,0,0
-0.096387521,0,40.04928131,1603.944934,20,1,0,13,22.02371429,1,0,13,0,0,0,0
-0.510825624,-1,53.66461328,2879.890718,57.69225,1,1,14,96.15375,1,1,15,1,-12,0,0
0.55005167,-1,35.20054757,1239.078549,20,1,0,16,11.5384,1,0,17,0,-3.5,0,0
0.246860078,-4,61.15811088,3740.314527,16,1,1,12,12.5,1,1,16,-4,24.5,0,1
0.277631737,0,37.2183436,1385.2051,6.6,1,1,12,5,1,1,12,-1,-14.25,0,0
0.182321557,0,52.93360712,2801.966763,40,1,1,20,33.33333333,1,1,20,-1,21,0,1
0.277210773,0,23.89048597,570.7553198,9.5,1,1,14,7.2,1,1,14,0,1,0,0
0.167054085,0,35.60848734,1267.964371,13,1,1,14,11,1,1,14,0,0,0,0
0.29321504,0,58.13278576,3379.420781,10.27,1,1,12,7.66,1,1,12,0,21,0,1
-0.123858579,2,63.71800137,4059.983699,15,1,1,15,16.97783688,1,1,13,1,-3,0,0
-1.272965676,-3,42.0862423,1771.251791,14,1,1,16,50,1,1,19,-3,-13,-1,0
0.113328685,1,23.00068446,529.0314858,14,1,1,14,12.5,1,1,13,1,-3.5,0,1
0,0,19.89869952,395.9582426,6,1,1,13,6,1,1,13,0,-0.084,0,0
0.336472237,0,24.73100616,611.6226657,5,1,1,18,3.571428571,1,1,18,0,-0.148,0,0
0,0,28.73648186,825.7853898,12,1,0,16,12,1,0,16,0,4,-1,0
-0.317448897,-1,56.47912389,3189.891435,10.5,1,0,12,14.423,1,0,13,5,4.5,1,0
0.055688906,-1,61.47022587,3778.588669,12,1,0,13,11.35,1,0,14,0,3,0,-1
0.388423642,0,42.12183436,1774.24893,28.57142857,1,0,18,19.375,1,0,18,0,1,0,0
-0.406894701,-2,33.7412731,1138.473511,11.65,1,1,14,17.5,1,1,16,-2,-4,0,0
-0.139761942,0,21.80424367,475.425042,5,1,1,13,5.75,1,1,13,-2,-0.583,0,0
